sweep,H,L,T
1165,-96,0,0
1166,-104,0,0
1167,-100,0,0
1168,-96,0,0
1169,-108,0,0
1170,-120,0,0
1171,-128,0,0
1172,-128,0,0
1173,-128,0,0
1174,-128,0,0
1175,-96,0,0
1176,-112,0,0
1177,-120,0,0
1178,-128,0,0
1179,-128,0,0
1180,-116,0,0
1181,-116,0,0
1182,-112,0,0
1183,-112,0,0
1184,-100,0,0
1185,-112,0,0
1186,-120,0,0
1187,-128,0,0
1188,-120,0,0
1189,-96,0,0
1190,-88,0,0
1191,-104,0,0
1192,-104,0,0
1193,-116,0,0
1194,-120,0,0
1195,-112,0,0
1196,-128,0,0
1197,-108,0,0
1198,-120,0,0
1199,-112,0,0
1200,-112,0,0
1201,-128,0,0
1202,-116,0,0
1203,-116,0,0
1204,-108,0,0
1205,-92,0,0
1206,-104,0,0
1207,-108,0,0
1208,-120,0,0
1209,-128,0,0
1210,-108,0,0
1211,-112,0,0
1212,-120,0,0
1213,-112,0,0
1214,-96,0,0
1215,-96,0,0
1216,-120,0,0
1217,-128,0,0
1218,-120,0,0
1219,-112,0,0
1220,-108,0,0
1221,-108,0,0
1222,-116,0,0
1223,-80,0,0
1224,-84,0,0
1225,-108,0,0
1226,-128,0,0
1227,-128,0,0
1228,-120,0,0
1229,-128,0,0
1230,-116,0,0
1231,-120,0,0
1232,-128,0,0
1233,-128,0,0
1234,-128,0,0
1235,-128,0,0
1236,-120,0,0
1237,-120,0,0
1238,-128,0,0
1239,-128,0,0
1240,-128,0,0
1241,-128,0,0
1242,-112,0,0
1243,-100,0,0
1244,-120,0,0
1245,-108,0,0
1246,-128,0,0
1247,-116,0,0
1248,-108,0,0
1249,-84,0,0
1250,-100,0,0
1251,-120,0,0
1252,-100,0,0
1253,-104,0,0
1254,-80,0,0
1255,-84,0,0
1256,-104,0,0
1257,-120,0,0
1258,-112,0,0
1259,-128,0,0
1260,-128,0,0
1261,-112,0,0
1262,-88,0,0
1263,-128,0,0
1264,-128,0,0
1265,-120,0,0
1266,-84,0,0
1267,-112,0,0
1268,-120,0,0
1269,-120,0,0
1270,-120,0,0
1271,-104,0,0
1272,-116,0,0
1273,-112,0,0
1274,-112,0,0
1275,-88,0,0
1276,-128,0,0
1277,-128,0,0
1278,-116,0,0
1279,-128,0,0
1280,-128,0,0
1281,-112,0,0
1282,-112,0,0
1283,-128,0,0
1284,-128,0,0
1285,-120,0,0
1286,-128,0,0
1287,-112,0,0
1288,-108,0,0
1289,-108,0,0
1290,-88,0,0
1291,-112,0,0
1292,-100,0,0
1293,-120,0,0
1294,-120,0,0
1295,-112,0,0
1296,-120,0,0
1297,-120,0,0
1298,-112,0,0
1299,-104,0,0
1300,-104,0,0
1301,-120,0,0
1302,-120,0,0
1303,-84,0,0
1304,-96,0,0
1305,-100,0,0
1306,-120,0,0
1307,-104,0,0
1308,-88,0,0
1309,-128,0,0
1310,-108,0,0
1311,-116,0,0
1312,-108,0,0
1313,-100,0,0
1314,-92,0,0
1315,-88,0,0
1316,-108,0,0
1317,-120,0,0
1318,-120,0,0
1319,-120,0,0
1320,-120,0,0
1321,-96,0,0
1322,-96,0,0
1323,-96,0,0
1324,-116,0,0
1325,-128,0,0
1326,-108,0,0
